"id","apelido","posicao_id"
"88054","Diogo Sodré","4"
"62104","Robinho","4"
"71093","Baraka","4"
"88146","Maranhão","4"
"78500","Sérgio Manoel","4"
"70054","Marcos Paulo","4"
"63208","Zezinho","4"
"80171","Dedé","4"
"60948","Diones","4"
"68698","Bruno Silva","4"
"62009","Camilo","4"
"37983","Ricardo Conceição","4"
"85931","Hyoran","4"
"51293","Wanderson","4"
"87202","Lucas ","4"
"80795","Dieguinho","4"
"73633","Júnior Timbó","4"
"79892","Nenén","4"
"79193","Abuda","4"
"70925","Wescley","4"
"68938","Giovanni Augusto","4"
"81914","Léo Lisboa","4"
"81950","Jefferson","4"
"87747","Yago","4"
"71113","Felipe ","4"
"50321","Vitor Júnior","4"
"84887","Dener","4"
"83688","Luan","4"
"37816","Marco Antônio","4"
"38630","Rivaldo","4"
"82884","Matheus Gonzaga","4"
"88166","Felipe Caldeira","4"
"78716","Nem","4"
"69047","Paulo Roberto","4"
"72084","França","4"
"71742","Hiroshi","4"
"68994","Wesley","4"
"36775","Marcos Assunção","4"
"38588","Elton","5"
"83134","Igor Sartori","5"
"70929","Negueba","5"
"80913","Nixon","5"
"80337","Arthur ","5"
"78578","Paulinho","5"
"72893","Eduardo Da Silva","5"
"37673","Alecsandro","5"
"72386","Hernane","5"
"61115","Jobson","5"
"78012","Yuri Mamute","5"
"79038","Murilo","5"
"62127","Wallyson","5"
"73540","Rogério","5"
"74065","Zeballos","5"
"79022","Yguinho","5"
"88987","Bruno Correa","5"
"88651","Vinícius","5"
"81236","Ferreyra","5"
"68744","Emerson","5"
"79578","Sassá","5"
"89921","Maikon","5"
"89479","Gustavo Tocantins","5"
"75295","Paolo Guerrero","5"
"88323","Ángel Romero","5"
"80287","Luciano","5"
"88056","Malcom","5"
"83471","Paulinho","5"
"77738","Romarinho","5"
"73027","Potita","5"
"50532","Maxi Biancucchi","5"
"68773","Henrique","5"
"86927","Nadson","5"
"82502","Rafinha","5"
"38482","Marcos Aurélio","5"
"68930","Kieza","5"
"72099","Wiliam Barbio","5"
"88075","Jeam","5"
"80076","Zé Roberto","5"
"83872","Erick","5"
"70874","Rhayner","5"
"73516","Rafael","5"
"71995","Hugo","5"
"38374","Alessandro","5"
"89932","JacÃ³","5"
"84791","Kenedy","5"
"62128","Walter","5"
"80949","Biro Biro","5"
"38162","Fred","5"
"70924","Matheus Carvalho","5"
"37798","Rafael Sobis","5"
"68894","Bruno Veiga","5"
"87420","Cristaldo","5"
"73085","Leandro","5"
"81905","Henrique","5"
"86222","Rodolfo","5"
"50666","Diogo","5"
"83130","Erik ","5"
"70106","Mouche","5"
"89154","Gabriel Fernando","5"
"88367","Chico","5"
"73213","Miguel","5"
